수집시각,아이템,체결건수,체결수량합,체결가_중앙,체결가_최저,체결_최초,체결_최종,체결구간_분,시간당_체결건수,매물_최저가,매물_평균가,매물_수량,매물_등록수
2026-09-01 02:28:53,레어 소울 결정,100,12259,2030,1800,2026-09-01 00:27:41,2026-09-01 02:22:03,114.4,52.47,1980,2008,16853,100
2026-09-01 02:28:56,유니크 소울 결정,100,9529,4047,3600,2026-09-01 00:11:23,2026-09-01 02:27:26,136.1,44.09,4050,4086,18565,100
2026-09-01 02:28:58,레전더리 소울 결정,100,912,40001,37000,2026-09-01 00:28:39,2026-09-01 02:27:10,118.5,50.63,38900,40001,2210,100
2026-09-01 02:29:01,에픽 소울 결정,100,307,969998,800000,2026-09-01 01:25:50,2026-09-01 02:27:20,61.5,97.56,899999,979999,1061,100
2026-09-01 02:29:03,태초 소울 결정,100,121,4950000,4640000,2026-09-01 00:23:22,2026-09-01 02:23:50,120.5,49.8,4984444,4690999,339,100
2026-09-01 07:41:05,레어 소울 결정,100,12093,2004,1887,2026-09-01 03:39:06,2026-09-01 07:34:49,235.7,25.45,1800,2002,22601,100
2026-09-01 07:41:07,유니크 소울 결정,100,12089,4083,3500,2026-09-01 04:37:05,2026-09-01 07:34:42,177.6,33.78,3800,4080,19509,100
2026-09-01 07:41:09,레전더리 소울 결정,100,1597,40001,35000,2026-09-01 05:45:36,2026-09-01 07:36:28,110.9,54.11,40000,40001,2659,100
2026-09-01 07:41:11,에픽 소울 결정,100,243,900000,800000,2026-09-01 05:11:20,2026-09-01 07:40:04,148.7,40.34,890000,978385,558,100
2026-09-01 07:41:13,태초 소울 결정,100,138,5100000,4699999,2026-09-01 03:34:39,2026-09-01 07:40:33,245.9,24.4,5000000,4699999,339,100
2026-09-01 13:31:23,레어 소울 결정,100,10596,2001,1800,2026-09-01 12:09:42,2026-09-01 13:22:13,72.5,82.71,1998,2001,22496,100
2026-09-01 13:31:26,유니크 소울 결정,100,8062,4080,3800,2026-09-01 11:59:29,2026-09-01 13:31:12,91.7,65.4,4080,4080,16418,100
2026-09-01 13:31:28,레전더리 소울 결정,100,938,38764,30000,2026-09-01 12:13:03,2026-09-01 13:29:27,76.4,78.55,38500,40001,1992,100
2026-09-01 13:31:30,에픽 소울 결정,100,502,989999,911111,2026-09-01 12:50:54,2026-09-01 13:31:24,40.5,148.15,960000,978078,938,100
2026-09-01 13:31:32,태초 소울 결정,100,122,5050000,4555555,2026-09-01 11:19:21,2026-09-01 13:30:32,131.2,45.75,5100000,4769998,211,100
2026-09-01 20:25:33,레어 소울 결정,100,12751,2200,1989,2026-09-01 19:25:23,2026-09-01 20:24:31,59.2,101.42,2150,2001,27843,100
2026-09-01 20:25:35,유니크 소울 결정,100,8622,4749,3900,2026-09-01 19:40:04,2026-09-01 20:24:07,44.0,136.24,4798,4080,39395,100
2026-09-01 20:25:37,레전더리 소울 결정,100,885,43900,35000,2026-09-01 19:37:52,2026-09-01 20:24:34,46.7,128.53,42989,40001,2564,100
2026-09-01 20:25:39,에픽 소울 결정,100,457,978309,935000,2026-09-01 19:57:58,2026-09-01 20:24:46,26.8,223.71,940000,978309,740,100
2026-09-01 20:25:41,태초 소울 결정,100,133,5149000,4800000,2026-09-01 19:38:24,2026-09-01 20:22:01,43.6,137.55,5099999,4890000,289,100
2026-09-02 01:22:48,레어 소울 결정,100,11056,2001,1750,2026-09-01 23:39:51,2026-09-02 01:12:54,93.1,64.47,2000,2001,20178,100
2026-09-02 01:22:50,유니크 소울 결정,100,8511,4085,3800,2026-09-01 23:44:48,2026-09-02 01:18:37,93.8,63.94,4085,4085,16886,100
2026-09-02 01:22:53,레전더리 소울 결정,100,1268,41500,36999,2026-09-02 00:00:58,2026-09-02 01:15:02,74.0,81.04,41500,41500,2261,100
2026-09-02 01:22:55,에픽 소울 결정,100,477,970000,880000,2026-09-02 00:15:28,2026-09-02 01:16:50,61.4,97.75,949999,978078,585,100
2026-09-02 01:22:58,태초 소울 결정,100,120,5200000,4799999,2026-09-01 23:47:16,2026-09-02 01:22:28,95.2,63.01,5100000,4999999,320,100
2026-09-02 05:51:40,레어 소울 결정,100,10291,2200,1800,2026-09-02 02:39:06,2026-09-02 05:27:53,168.8,35.55,2400,2001,29591,100
2026-09-02 05:51:42,유니크 소울 결정,100,9910,4085,3500,2026-09-02 02:26:15,2026-09-02 05:32:19,186.1,32.25,4085,4085,21284,100
2026-09-02 05:51:45,레전더리 소울 결정,100,1073,41400,38000,2026-09-02 01:44:29,2026-09-02 05:22:09,217.7,27.56,38000,41625,1458,100
2026-09-02 05:51:48,에픽 소울 결정,100,324,950000,799999,2026-09-02 01:50:56,2026-09-02 05:49:15,238.3,25.18,800000,978078,594,100
2026-09-02 05:51:50,태초 소울 결정,100,109,5000000,4800000,2026-09-02 01:04:06,2026-09-02 05:30:59,266.9,22.48,4840000,5000000,232,100
2026-09-02 08:53:54,레어 소울 결정,100,7759,2189,1999,2026-09-02 05:27:43,2026-09-02 08:52:23,204.7,29.32,2300,2001,27942,100
2026-09-02 08:53:56,유니크 소울 결정,100,7588,4300,3990,2026-09-02 05:32:19,2026-09-02 08:52:29,200.2,29.98,4000,4085,22876,100
2026-09-02 08:53:58,레전더리 소울 결정,100,849,41750,39000,2026-09-02 06:53:43,2026-09-02 08:52:01,118.3,50.71,41625,41625,1773,100
2026-09-02 08:54:00,에픽 소울 결정,100,293,859999,789999,2026-09-02 05:49:15,2026-09-02 08:53:37,184.4,32.54,899999,978078,412,100
2026-09-02 08:54:02,태초 소울 결정,100,106,4994999,4500000,2026-09-02 02:35:42,2026-09-02 08:47:39,371.9,16.13,4999997,5000000,247,100
